Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,variety
SRR7279481,WGS,298,11740616758,PRJNA454805,SAMN09229594,Plant,5319177677,COMAV-UPV,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183310,Ecuador,South America,"Ecuador: Yantzaza\, Yantzaza",NextSeq 500,BGV005912,Esther052516_BGV005912,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:59:00Z,1,BGV005912,SRP150040,leaf,cerasiforme
SRR7279482,WGS,299,25594078372,PRJNA454805,SAMN09229632,Plant,10891357137,COMAV-UPV,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX4183309,Ecuador,South America,"Ecuador: Sucua\, Logrono",NextSeq 500,BGV006904,Esther052516_BGV006904,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:36:00Z,1,BGV006904,SRP150040,leaf,cerasiforme
SRR7279483,WGS,298,14558344828,PRJNA454805,SAMN09229595,Plant,6323943112,COMAV-UPV,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183308,Ecuador,South America,"Ecuador: Chaguarpamba\, El Rosario",NextSeq 500,BGV006148,Esther120315_BGV006148,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:13:00Z,1,BGV006148,SRP150040,leaf,
SRR7279484,WGS,298,6146880019,PRJNA454805,SAMN09229594,Plant,2736806126,COMAV-UPV,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183307,Ecuador,South America,"Ecuador: Yantzaza\, Yantzaza",NextSeq 500,BGV005912,Esther120315_BGV005912,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:10:00Z,1,BGV005912,SRP150040,leaf,cerasiforme
SRR7279485,WGS,298,20148649538,PRJNA454805,SAMN09229602,Plant,8921031677,COMAV-UPV,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183306,Ecuador,South America,"Ecuador: Sucua\, Logrono",NextSeq 500,BGV006232,Esther120315_BGV006232,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:42:00Z,1,BGV006232,SRP150040,leaf,cerasiforme
SRR7279486,WGS,299,13808953227,PRJNA454805,SAMN09229603,Plant,5956889387,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX4183305,Ecuador,South America,"Ecuador: Zamora\, Timbara",NextSeq 500,BGV006234,Esther120315_BGV006234,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:13:00Z,1,BGV006234,SRP150040,leaf,cerasiforme
SRR7279487,WGS,300,9471934800,PRJNA454805,SAMN09229689,Plant,5179585066,COMAV-UPV,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX4183304,Peru,South America,"Peru: Abancay\, Abancay",NextSeq 500,BGV007989,Esther3250_2015_10_12_BGV007989,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:58:00Z,1,BGV007989,SRP150040,leaf,cerasiforme
SRR7279488,WGS,300,2688920700,PRJNA454805,SAMN09229703,Plant,1433159408,COMAV-UPV,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX4183303,Peru,South America,"Peru: Moyobamba\, Soritor",NextSeq 500,BGV008095,Esther3250_2015_10_12_BGV008095,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T02:45:00Z,1,BGV008095,SRP150040,leaf,cerasiforme
SRR7279489,WGS,299,12615445424,PRJNA454805,SAMN09229599,Plant,5465166279,COMAV-UPV,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX4183302,Ecuador,South America,"Ecuador: Morona\, Indanza",NextSeq 500,BGV006229,Esther120315_BGV006229,PAIRED,RANDOM PCR,GENOMIC,Solanum lycopersicum var. cerasiforme,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:37:00Z,1,BGV006229,SRP150040,leaf,cerasiforme
SRR7279490,WGS,298,13723302870,PRJNA454805,SAMN09229597,Plant,5972702645,COMAV-UPV,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX4183301,Ecuador,South America,"Ecuador: Santa Isabel\, Santa Isabel",NextSeq 500,BGV006208,Esther120315_BGV006208,PAIRED,RANDOM PCR,GENOMIC,Solanum pimpinellifolium,ILLUMINA,2018-06-08T00:00:00Z,2018-06-08T03:31:00Z,1,BGV006208,SRP150040,leaf,
