Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,collected_by,Collection_Date,replicate,variety
SRR10197546,WGS,4639,109339138361,PRJNA557253,SAMN12867948,Plant,90706970679,JOHNS HOPKINS UNIVERSITY,public,EA01640,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6917688,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0001,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-27T23:51:00Z,1,EA01640,SRP216764,Leaf,,,,
SRR10199002,WGS,7927,78886408764,PRJNA557253,SAMN12869021,Plant,61330828794,JOHNS HOPKINS UNIVERSITY,public,Manalucie,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Mature Leaf,SRX6919146,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0007,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-28T20:50:00Z,1,Manalucie,SRP216764,Leaf,,,,
SRR10199003,WGS,8997,90175664116,PRJNA557253,SAMN12869020,Plant,72965475631,JOHNS HOPKINS UNIVERSITY,public,Walter,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6919145,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0006,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-28T21:32:00Z,1,Walter,SRP216764,Leaf,,,,
SRR10199004,WGS,8582,60652849170,PRJNA557253,SAMN12869019,Plant,49215517433,JOHNS HOPKINS UNIVERSITY,public,Marglobe,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6919144,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0005,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-28T21:25:00Z,1,Marglobe,SRP216764,Leaf,,,,
SRR10208148,WGS,7313,50155531475,PRJNA557253,SAMN12877494,Plant,42601581740,JOHNS HOPKINS UNIVERSITY,public,Floradade,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6928074,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0011,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-30T22:16:00Z,1,Floradade,SRP216764,Leaf,,,,
SRR10208149,WGS,9448,122304087568,PRJNA557253,SAMN12877493,Plant,103605164548,JOHNS HOPKINS UNIVERSITY,public,C-28,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX6928073,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0010,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T00:50:00Z,1,C-28,SRP216764,Leaf,,,,
SRR10208150,WGS,6316,93196433051,PRJNA557253,SAMN12877492,Plant,75560647293,JOHNS HOPKINS UNIVERSITY,public,Sweet100,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6928072,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0009,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-30T23:22:00Z,1,Sweet100,SRP216764,Leaf,,,,
SRR10208151,WGS,8288,89556695895,PRJNA557253,SAMN12877491,Plant,72941243781,JOHNS HOPKINS UNIVERSITY,public,Top_X_self,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6928071,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0008,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-09-30T23:56:00Z,1,Top_X_self,SRP216764,Leaf,,,,
SRR10214509,WGS,4509,67685149577,PRJNA557253,SAMN12884930,Plant,54509714215,JOHNS HOPKINS UNIVERSITY,public,Fla.7907B,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX6934193,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0016,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T21:55:00Z,1,Fla.7907B,SRP216764,Leaf,,,,
SRR10214510,WGS,6848,86870838843,PRJNA557253,SAMN12884929,Plant,70232587743,JOHNS HOPKINS UNIVERSITY,public,Fla.8059,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6934192,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0015,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T23:41:00Z,1,Fla.8059,SRP216764,Leaf,,,,
SRR10214511,WGS,5592,60502996103,PRJNA557253,SAMN12884928,Plant,48624517677,JOHNS HOPKINS UNIVERSITY,public,Fla.7481,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX6934191,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0014,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T23:29:00Z,1,Fla.7481,SRP216764,Leaf,,,,
SRR10214512,WGS,5489,58365007694,PRJNA557253,SAMN12884927,Plant,46074189102,JOHNS HOPKINS UNIVERSITY,public,Fla.7060,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6934190,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0013,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T23:37:00Z,1,Fla.7060,SRP216764,Leaf,,,,
SRR10214513,WGS,5058,60058969226,PRJNA557253,SAMN12884926,Plant,47096491696,JOHNS HOPKINS UNIVERSITY,public,Suncoast,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6934189,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0012,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-01T23:15:00Z,1,Suncoast,SRP216764,Leaf,,,,
SRR10230180,WGS,6688,98992310780,PRJNA557253,SAMN12911122,Plant,83951514918,JOHNS HOPKINS UNIVERSITY,public,LA1335,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX6949687,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0026,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T22:36:00Z,1,LA1335,SRP216764,Leaf,,,,
SRR10230183,WGS,7833,85283027943,PRJNA557253,SAMN12911119,Plant,75833165697,JOHNS HOPKINS UNIVERSITY,public,LA1592,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6949684,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0023,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T21:31:00Z,1,LA1592,SRP216764,Leaf,,,,
SRR10230184,WGS,7995,55192626250,PRJNA557253,SAMN12911118,Plant,46842433655,JOHNS HOPKINS UNIVERSITY,public,LA1924,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6949683,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0022,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T20:38:00Z,1,LA1924,SRP216764,Leaf,,,,
SRR10230186,WGS,6395,81173183281,PRJNA557253,SAMN12911124,Plant,68937694575,JOHNS HOPKINS UNIVERSITY,public,LA1237,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX6949681,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0029,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T21:26:00Z,1,LA1237,SRP216764,Leaf,,,,
SRR10241439,WGS,7321,96300598334,PRJNA557253,SAMN12989072,Plant,81307448101,JOHNS HOPKINS UNIVERSITY,public,LA0317,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX6960109,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0036,SINGLE,RANDOM,GENOMIC,Solanum galapagense,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-07T23:02:00Z,1,LA0317,SRP216764,Leaf,,,,
SRR10241440,WGS,11933,82462339626,PRJNA557253,SAMN12989071,Plant,72025217843,JOHNS HOPKINS UNIVERSITY,public,LA0438,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6960108,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0035,SINGLE,RANDOM,GENOMIC,Solanum galapagense,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-07T22:33:00Z,1,LA0438,SRP216764,Leaf,,,,
SRR10241441,WGS,7034,64037373829,PRJNA557253,SAMN12989070,Plant,53577900026,JOHNS HOPKINS UNIVERSITY,public,LA0483,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX6960107,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0034,SINGLE,RANDOM,GENOMIC,Solanum galapagense,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-07T22:07:00Z,1,LA0483,SRP216764,Leaf,,,,
SRR10241442,WGS,7757,82624918482,PRJNA557253,SAMN12989069,Plant,73463440474,JOHNS HOPKINS UNIVERSITY,public,LA0526,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Mature Leaf,SRX6960106,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0033,SINGLE,RANDOM,GENOMIC,Solanum galapagense,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-07T23:40:00Z,1,LA0526,SRP216764,Leaf,,,,
SRR10241444,WGS,5896,46478181992,PRJNA557253,SAMN12989067,Plant,39181418942,JOHNS HOPKINS UNIVERSITY,public,LA1136,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6960104,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0031,SINGLE,RANDOM,GENOMIC,Solanum galapagense,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-07T22:07:00Z,1,LA1136,SRP216764,Leaf,,,,
SRR10343551,WGS,5631,50113648717,PRJNA557253,SAMN13111367,Plant,42543286560,JOHNS HOPKINS UNIVERSITY,public,PI378994,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX7053423,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0056,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T01:47:00Z,1,PI378994,SRP216764,Leaf,,,,cerasiforme
SRR10343552,WGS,9318,68025567350,PRJNA557253,SAMN13111366,Plant,58713491465,JOHNS HOPKINS UNIVERSITY,public,BGV006768,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX7053422,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0055,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T02:18:00Z,1,BGV006768,SRP216764,Leaf,,,,cerasiforme
